box;band_date;ring;weight;p3;transp
1;2020-05-18;b4x8686;89;195;48F0000000008001
1;2020-05-18;b4x8687;100;245;DAF0000000008001
1;2020-05-18;b4x8688;102;245;68F0000000008001
1;2020-05-18;b4x8689;95;235;ECF0000000008001
1;2020-05-18;b4x8690;80;175;F2F0000000008001
1;2020-05-18;b4x8691;103;235;9CF0000000008001
1;2020-05-18;b4x8692;102;245;F8F0000000008001
1;2020-05-18;b4x8693;51;75;
1;2020-05-18;b4x8694;106;255;32F0000000008001
1;2020-05-18;b4x8695;106;225;74F0000000008001
1;2020-05-18;b4x8696;102;255;8AF0000000008001
2;2020-05-15;b4x8633;107;225;93B0000000008001
2;2020-05-15;b4x8634;124;250;25B0000000008001
2;2020-05-15;b4x8635;69;85;F3B0000000008001
2;2020-05-15;b4x8636;119;250;6BB0000000008001
2;2020-05-15;b4x8637;109;245;EBB0000000008001
2;2020-05-15;b4x8638;100;155;D5B0000000008001
2;2020-05-15;b4x8639;116;230;CBB0000000008001
2;2020-05-15;b4x8640;101;205;61B0000000008001
2;2020-05-15;b4x8641;120;265;6DB0000000008001
5;2020-05-18;b5a9321;113;225;4670000000008001
5;2020-05-18;b5a9322;122;255;A2B0000000008001
5;2020-05-18;b5a9323;104;180;26B0000000008001
5;2020-05-18;b5a9324;109;235;F6B0000000008001
5;2020-05-18;b5a9325;100;215;CEB0000000008001
5;2020-05-18;b5a9326;119;260;1CB0000000008001
5;2020-05-18;b5a9327;106;205;96B0000000008001
5;2020-05-18;b5a9328;120;240;6A70000000008001
5;2020-05-18;b5a9329;110;235;8670000000008001
6;2020-05-22;b5a9794;105;245;CB50000000008001
6;2020-05-22;b5a9795;100;220;A2F0000000008001
6;2020-05-22;b5a9796;103;240;C708000000008001
6;2020-05-22;b5a9797;109;240;72F0000000008001
6;2020-05-22;b5a9798;108;250;BB08000000008001
6;2020-05-22;b5a9799;116;225;98F0000000008001
6;2020-05-22;b5a9800;118;240;EAF0000000008001
6;2020-05-22;b5a9801;106;250;E4F0000000008001
6;2020-05-22;b5a9802;120;265;64F0000000008001
6;2020-05-22;b5a9803;107;165;84F0000000008001
6;2020-05-22;b5a9804;107;200;4AF0000000008001
18;2020-05-16;b5a9067;115;225;84B0000000008001
18;2020-05-16;b5a9068;94;185;22B0000000008001
18;2020-05-16;b5a9069;103;230;5CB0000000008001
