"";"fledge_box";"fledge";"fledge_date";"fledge_time";"transp"
"1";1;"2020-05-22 17:10:22";"2020-05-22";"17:10:22";"CBB0000000008001"
"2";1;"2020-05-23 06:19:03";"2020-05-23";"06:19:03";"DAF0000000008001"
"3";1;"2020-05-23 07:24:09";"2020-05-23";"07:24:09";"F8F0000000008001"
"4";1;"2020-05-23 07:28:39";"2020-05-23";"07:28:39";"DCF0000000008001"
"5";1;"2020-05-23 07:34:45";"2020-05-23";"07:34:45";"32F0000000008001"
"6";1;"2020-05-23 09:58:23";"2020-05-23";"09:58:23";"8AF0000000008001"
"7";1;"2020-05-23 10:01:10";"2020-05-23";"10:01:10";"9CF0000000008001"
"8";1;"2020-05-23 15:48:52";"2020-05-23";"15:48:52";"48F0000000008001"
"9";1;"2020-05-24 04:26:06";"2020-05-24";"04:26:06";"74F0000000008001"
"10";1;"2020-05-24 05:32:22";"2020-05-24";"05:32:22";"ECF0000000008001"
"11";2;"2020-05-22 08:21:12";"2020-05-22";"08:21:12";"7A30000000008001"
"12";2;"2020-05-23 06:59:48";"2020-05-23";"06:59:48";"EBB0000000008001"
"13";2;"2020-05-23 07:20:46";"2020-05-23";"07:20:46";"6BB0000000008001"
"14";2;"2020-05-23 07:21:37";"2020-05-23";"07:21:37";"25B0000000008001"
"15";2;"2020-05-23 07:26:53";"2020-05-23";"07:26:53";"61B0000000008001"
"16";2;"2020-05-23 07:28:46";"2020-05-23";"07:28:46";"6DB0000000008001"
"17";2;"2020-05-23 10:21:31";"2020-05-23";"10:21:31";"68F0000000008001"
"18";2;"2020-05-24 05:45:50";"2020-05-24";"05:45:50";"D5B0000000008001"
"19";2;"2020-05-24 07:47:12";"2020-05-24";"07:47:12";"F3B0000000008001"
"20";5;"2020-05-24 06:56:59";"2020-05-24";"06:56:59";"84B0000000008001"
"21";5;"2020-05-25 18:13:34";"2020-05-25";"18:13:34";"4670000000008001"
"22";5;"2020-05-26 05:42:54";"2020-05-26";"05:42:54";"CEB0000000008001"
"23";5;"2020-05-26 05:53:54";"2020-05-26";"05:53:54";"A2B0000000008001"
"24";5;"2020-05-26 06:19:47";"2020-05-26";"06:19:47";"96B0000000008001"
"25";5;"2020-05-26 07:06:06";"2020-05-26";"07:06:06";"1CB0000000008001"
"26";5;"2020-05-26 07:07:48";"2020-05-26";"07:07:48";"26B0000000008001"
"27";5;"2020-05-26 07:12:44";"2020-05-26";"07:12:44";"6A70000000008001"
"28";6;"2020-05-28 05:26:25";"2020-05-28";"05:26:25";"F008000000008001"
"29";6;"2020-05-29 07:40:06";"2020-05-29";"07:40:06";"64F0000000008001"
"30";6;"2020-05-29 07:46:47";"2020-05-29";"07:46:47";"BB08000000008001"
"31";6;"2020-05-29 07:56:41";"2020-05-29";"07:56:41";"98F0000000008001"
"32";6;"2020-05-29 07:59:38";"2020-05-29";"07:59:38";"E4F0000000008001"
"33";6;"2020-05-29 08:03:00";"2020-05-29";"08:03:00";"EAF0000000008001"
"34";6;"2020-05-29 08:03:46";"2020-05-29";"08:03:46";"C0B0000000008001"
"35";6;"2020-05-29 08:04:53";"2020-05-29";"08:04:53";"4AF0000000008001"
"36";6;"2020-05-29 08:11:23";"2020-05-29";"08:11:23";"84F0000000008001"
"37";6;"2020-05-29 08:37:12";"2020-05-29";"08:37:12";"A2F0000000008001"
"38";18;"2020-05-23 06:10:58";"2020-05-23";"06:10:58";"CAB0000000008001"
"39";18;"2020-05-23 06:24:53";"2020-05-23";"06:24:53";"3CB0000000008001"
"40";18;"2020-05-23 06:29:25";"2020-05-23";"06:29:25";"9AB0000000008001"
"41";18;"2020-05-23 06:36:03";"2020-05-23";"06:36:03";"B6B0000000008001"
"42";18;"2020-05-23 10:50:21";"2020-05-23";"10:50:21";"9EB0000000008001"
"43";18;"2020-05-24 08:53:04";"2020-05-24";"08:53:04";"34B0000000008001"
"44";18;"2020-05-24 08:55:50";"2020-05-24";"08:55:50";"22B0000000008001"
"45";18;"2020-05-24 08:57:39";"2020-05-24";"08:57:39";"8670000000008001"
"46";21;"2020-05-21 17:10:54";"2020-05-21";"17:10:54";"83B0000000008001"
"47";21;"2020-05-22 09:43:20";"2020-05-22";"09:43:20";"89B0000000008001"
"48";21;"2020-05-22 09:44:50";"2020-05-22";"09:44:50";"CDB0000000008001"
"49";21;"2020-05-22 10:12:29";"2020-05-22";"10:12:29";"FDB0000000008001"
"50";21;"2020-05-22 11:11:37";"2020-05-22";"11:11:37";"AFB0000000008001"
"51";21;"2020-05-22 11:34:57";"2020-05-22";"11:34:57";"79B0000000008001"
"52";21;"2020-05-22 11:36:44";"2020-05-22";"11:36:44";"21B0000000008001"
"53";21;"2020-05-22 11:54:25";"2020-05-22";"11:54:25";"A3B0000000008001"
"54";22;"2020-05-23 08:52:37";"2020-05-23";"08:52:37";"A9B0000000008001"
"55";22;"2020-05-24 06:18:23";"2020-05-24";"06:18:23";"E870000000008001"
"56";22;"2020-05-24 06:37:34";"2020-05-24";"06:37:34";"2FB0000000008001"
"57";22;"2020-05-24 06:38:34";"2020-05-24";"06:38:34";"F870000000008001"
"58";22;"2020-05-25 06:21:42";"2020-05-25";"06:21:42";"E7B0000000008001"
"59";22;"2020-05-25 06:22:06";"2020-05-25";"06:22:06";"3C70000000008001"
"60";22;"2020-05-25 06:22:37";"2020-05-25";"06:22:37";"5070000000008001"
"61";22;"2020-05-25 06:22:51";"2020-05-25";"06:22:51";"7BB0000000008001"
"62";22;"2020-05-25 06:23:50";"2020-05-25";"06:23:50";"9470000000008001"
"63";26;"2020-05-21 15:19:11";"2020-05-21";"15:19:11";"81B0000000008001"
"64";26;"2020-05-22 05:10:24";"2020-05-22";"05:10:24";"01B0000000008001"
"65";26;"2020-05-22 05:13:35";"2020-05-22";"05:13:35";"E1B0000000008001"
"66";26;"2020-05-22 05:16:59";"2020-05-22";"05:16:59";"05B0000000008001"
"67";26;"2020-05-22 05:18:00";"2020-05-22";"05:18:00";"03B0000000008001"
