ID;year_;box;nest;transponder;tarsus;weight;fledge_date;hatch_day;fledge_day;fledge_age;fledge_time;sunrise;fledge_time_sunrise;solar_noon;median;order;surviveSNB;surviveSF;survive;epy;sex
B4P8817;2017;1;1_2017;A800000000008001;16.4;9.6;20/05/2017;119;140;21;9.940833;5.52;4.42;13.22;-0.97;1;0;0;0;0;1
B4P8818;2017;1;1_2017;6.8E+15;17.4;10.3;20/05/2017;119;140;21;10.291111;5.52;4.77;13.22;-0.97;2;1;1;1;0;1
B4P8815;2017;1;1_2017;C800000000008001;15.15;8.4;21/05/2017;119;141;22;8.027222;5.50;2.53;13.22;-0.97;3;0;0;0;0;1
B4P8819;2017;1;1_2017;E800000000008001;16.4;8.4;21/05/2017;119;141;22;8.039167;5.50;2.54;13.22;-0.97;4;0;0;0;0;1
B4X1511;2018;1;1_2018;7.36E+15;16.79;12.8;30/05/2018;130;150;20;6.788611;5.37;1.42;13.23;-0.84;1;0;0;0;0;1
B4X1512;2018;1;1_2018;B360000000008001;17.14;11.5;30/05/2018;130;150;20;6.885000;5.37;1.52;13.23;-0.84;2;0;0;0;0;1
B4X1510;2018;1;1_2018;F360000000008001;17.09;11.1;30/05/2018;130;150;20;7.606389;5.37;2.24;13.23;-0.84;3;1;1;1;0;1
B4X1507;2018;1;1_2018;4B60000000008001;16.4;10.4;30/05/2018;130;150;20;7.621944;5.37;2.26;13.23;-0.84;4;1;1;1;0;2
B4X1513;2018;1;1_2018;3.36E+15;16.74;12.2;30/05/2018;130;150;20;7.708889;5.37;2.34;13.23;-0.84;5;1;1;1;0;1
B4X1509;2018;1;1_2018;0B60000000008001;17.02;11.1;30/05/2018;130;150;20;7.716667;5.37;2.35;13.23;-0.84;6;0;0;0;0;2
B4P8855;2017;10;10_2017;AA00000000008001;17;10.1;23/05/2017;121;143;22;8.424722;5.47;2.96;13.22;-1.39;1;0;0;0;0;1
B4P8852;2017;10;10_2017;EA00000000008001;16.15;9.8;23/05/2017;121;143;22;8.586944;5.47;3.12;13.22;-1.39;2;0;0;0;0;2
B4P8851;2017;10;10_2017;4A00000000008001;16.65;9.4;23/05/2017;121;143;22;8.590833;5.47;3.12;13.22;-1.39;3;0;0;0;0;2
B4P8854;2017;10;10_2017;2.2E+15;17.1;10.4;23/05/2017;121;143;22;8.715278;5.47;3.25;13.22;-1.39;4;0;0;0;0;1
B4P8853;2017;10;10_2017;2A00000000008001;17.1;9.7;23/05/2017;121;143;22;8.733611;5.47;3.27;13.22;-1.39;5;0;0;0;0;2
B4P8856;2017;10;10_2017;6A00000000008001;17;9.5;23/05/2017;121;143;22;10.380278;5.47;4.91;13.22;-1.39;6;0;0;0;0;1
B4P8858;2017;10;10_2017;1A00000000008001;15.35;8.4;23/05/2017;121;143;22;10.433333;5.47;4.97;13.22;-1.39;7;0;0;0;0;2
B4P8857;2017;10;10_2017;8A00000000008001;15.55;7.7;23/05/2017;121;143;22;10.445278;5.47;4.98;13.22;-1.39;8;0;0;0;0;2
B4P9375;2018;10;10_2018;85A0000000008001;16.57;10.9;29/05/2018;129;149;20;8.927222;5.38;3.54;13.23;-0.48;1;0;0;0;0;2
B4P9378;2018;10;10_2018;A5A0000000008001;17.44;10.7;29/05/2018;129;149;20;8.990278;5.38;3.61;13.23;-0.48;2;0;0;0;1;2
