swap_date;box;transp;foster_box
2020-05-17;47;6930000000008001;116
2020-05-17;116;3530000000008001;47
2020-05-17;47;8530000000008001;127
2020-05-17;127;7E30000000008001;47
2020-05-17;238;59B0000000008001;116
2020-05-17;116;4370000000008001;238
2020-05-17;238;1DB0000000008001;127
2020-05-17;127;7130000000008001;238
2020-05-17;243;3630000000008001;241
2020-05-17;241;45B0000000008001;243
2020-05-17;243;8930000000008001;230
2020-05-17;230;ABB0000000008001;243
2020-05-17;241;E3B0000000008001;170
2020-05-17;170;29B0000000008001;241
2020-05-17;170;E9B0000000008001;230
2020-05-17;230;BEB0000000008001;170
2020-05-18;245;3870000000008001;226
2020-05-18;226;91B0000000008001;245
2020-05-18;245;07B0000000008001;220
2020-05-18;220;8FB0000000008001;245
2020-05-18;226;C9B0000000008001;194
2020-05-18;194;9CB0000000008001;226
2020-05-18;220;8C70000000008001;194
2020-05-18;194;92B0000000008001;220
2020-05-18;142;5D30000000008001;191
2020-05-18;191;4CB0000000008001;142
2020-05-18;142;2530000000008001;256
2020-05-18;256;5870000000008001;142
2020-05-18;191;FAB0000000008001;232
2020-05-18;232;64B0000000008001;191
2020-05-18;232;1EB0000000008001;256
2020-05-18;256;D470000000008001;232
2020-05-18;21;A9B0000000008001;22
2020-05-18;22;AFB0000000008001;21
2020-05-18;21;39B0000000008001;26
2020-05-18;26;89B0000000008001;21
2020-05-18;22;77B0000000008001;81
2020-05-18;81;E870000000008001;22
2020-05-18;26;5DB0000000008001;81
2020-05-18;81;E070000000008001;26
2020-05-18;1;68F0000000008001;2
2020-05-18;2;CBB0000000008001;1
2020-05-18;1;ECF0000000008001;36
2020-05-18;36;DCF0000000008001;1
2020-05-18;2;93B0000000008001;140
2020-05-18;140;7A30000000008001;2
2020-05-18;36;88F0000000008001;140
2020-05-18;140;0530000000008001;36
2020-05-18;98;08F0000000008001;268
2020-05-18;268;E530000000008001;98
2020-05-18;98;FF70000000008001;250
2020-05-18;250;4470000000008001;98
2020-05-18;250;97B0000000008001;274
2020-05-18;274;1C70000000008001;250
2020-05-18;274;6870000000008001;268
2020-05-18;268;C888000000008001;274
2020-05-19;18;84B0000000008001;5
2020-05-19;5;8670000000008001;18
2020-05-19;18;5CB0000000008001;68
2020-05-19;68;9EB0000000008001;18
2020-05-19;99;6CF0000000008001;5
2020-05-19;5;F6B0000000008001;99
2020-05-19;68;06B0000000008001;99
2020-05-19;99;5370000000008001;68
2020-05-19;111;7308000000008001;86
2020-05-19;86;3308000000008001;111
2020-05-19;111;AB08000000008001;56
2020-05-19;56;2570000000008001;111
2020-05-19;86;7108000000008001;27
2020-05-19;27;1E30000000008001;86
2020-05-19;56;B930000000008001;27
2020-05-19;27;FA30000000008001;56
2020-05-19;117;B570000000008001;172
2020-05-19;172;FBB0000000008001;117
2020-05-19;117;8D30000000008001;129
2020-05-19;129;15B0000000008001;117
2020-05-19;172;27B0000000008001;154
2020-05-19;154;3770000000008001;172
2020-05-19;129;A1B0000000008001;154
2020-05-19;154;1770000000008001;129
2020-05-20;61;8FF0000000008001;182
2020-05-20;182;4530000000008001;61
2020-05-20;61;EBF0000000008001;259
2020-05-20;259;3888000000008001;61
2020-05-20;182;8F08000000008001;246
2020-05-20;246;F130000000008001;182
2020-05-20;259;4C88000000008001;246
2020-05-20;246;7F08000000008001;259
2020-05-20;69;C4F0000000008001;193
2020-05-20;193;4488000000008001;69
2020-05-20;69;10F0000000008001;265
2020-05-20;265;A770000000008001;69
2020-05-20;193;0930000000008001;277
2020-05-20;277;DA88000000008001;193
2020-05-20;265;4888000000008001;277
2020-05-20;277;B188000000008001;265
2020-05-21;200;3E70000000008001;180
2020-05-21;180;D008000000008001;200
2020-05-21;200;E7F0000000008001;235
2020-05-21;235;EC88000000008001;200
2020-05-21;180;4008000000008001;136
2020-05-21;136;B508000000008001;180
2020-05-21;235;8708000000008001;136
2020-05-21;136;5908000000008001;235
2020-05-21;33;6EB0000000008001;37
2020-05-21;37;D330000000008001;33
2020-05-21;33;F8B0000000008001;152
2020-05-21;152;F570000000008001;33
2020-05-21;37;9B30000000008001;178
2020-05-21;178;33F0000000008001;37
2020-05-21;152;F970000000008001;178
2020-05-21;178;7C70000000008001;152
2020-05-21;96;BCF0000000008001;29
2020-05-21;29;78B0000000008001;96
2020-05-21;96;C570000000008001;42
2020-05-21;42;7F30000000008001;96
2020-05-21;29;8CB0000000008001;77
2020-05-21;77;ACF0000000008001;29
2020-05-21;42;2730000000008001;77
2020-05-21;77;4F08000000008001;42
2020-05-21;150;0D70000000008001;197
2020-05-21;197;2988000000008001;150
2020-05-21;150;0B70000000008001;188
2020-05-21;188;3488000000008001;150
2020-05-21;197;C988000000008001;206
2020-05-21;206;2688000000008001;197
2020-05-21;206;8988000000008001;188
2020-05-21;188;7708000000008001;206
2020-05-21;160;62F0000000008001;213
2020-05-21;213;7488000000008001;160
2020-05-21;160;7CF0000000008001;216
2020-05-21;216;5D08000000008001;160
2020-05-21;213;D888000000008001;255
2020-05-21;255;1888000000008001;213
2020-05-21;216;6108000000008001;255
2020-05-21;255;D088000000008001;216
2020-05-21;247;3188000000008001;267
2020-05-21;267;C330000000008001;247
